id,temporada,kind,zx,zy,xt
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,9,6,0.16643
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,10,1,-0.01182
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,10,6,-0.00628
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,10,7,0.18453
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,11,0,0.0064
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,11,2,0.16036
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,11,5,0.04891
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,11,6,0.06671
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,11,7,0.024
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,0,2,-0.00325
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,0,3,-0.00523
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,0,4,-0.00445
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,0,7,0.00512
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,1,1,0.00437
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,1,2,0.03296
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,1,3,0.00941
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,1,5,0.00853
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,1,6,-0.00584
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,1,7,0.01935
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,2,1,-0.00306
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,2,2,0.0203
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,2,3,0.01474
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,2,4,0.00409
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,2,5,0.01656
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,2,6,0.01512
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,2,7,0.015
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,3,1,0.01307
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,3,2,0.00635
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,3,3,0.04228
