id,temporada,zx,zy,touches
e1islmeew98wa2ge0dicloay2,2025-2026,5,5,6
e1islmeew98wa2ge0dicloay2,2025-2026,5,6,2
e1islmeew98wa2ge0dicloay2,2025-2026,5,7,4
e1islmeew98wa2ge0dicloay2,2025-2026,6,0,2
e1islmeew98wa2ge0dicloay2,2025-2026,6,1,8
e1islmeew98wa2ge0dicloay2,2025-2026,6,2,19
e1islmeew98wa2ge0dicloay2,2025-2026,6,3,12
e1islmeew98wa2ge0dicloay2,2025-2026,6,4,3
e1islmeew98wa2ge0dicloay2,2025-2026,6,5,1
e1islmeew98wa2ge0dicloay2,2025-2026,6,7,3
e1islmeew98wa2ge0dicloay2,2025-2026,7,0,2
e1islmeew98wa2ge0dicloay2,2025-2026,7,1,8
e1islmeew98wa2ge0dicloay2,2025-2026,7,2,13
e1islmeew98wa2ge0dicloay2,2025-2026,7,3,6
e1islmeew98wa2ge0dicloay2,2025-2026,7,4,1
e1islmeew98wa2ge0dicloay2,2025-2026,7,5,1
e1islmeew98wa2ge0dicloay2,2025-2026,7,6,1
e1islmeew98wa2ge0dicloay2,2025-2026,7,7,1
e1islmeew98wa2ge0dicloay2,2025-2026,8,1,4
e1islmeew98wa2ge0dicloay2,2025-2026,8,2,4
e1islmeew98wa2ge0dicloay2,2025-2026,8,3,1
e1islmeew98wa2ge0dicloay2,2025-2026,8,4,1
e1islmeew98wa2ge0dicloay2,2025-2026,8,5,1
e1islmeew98wa2ge0dicloay2,2025-2026,8,6,1
e1islmeew98wa2ge0dicloay2,2025-2026,9,1,1
e1islmeew98wa2ge0dicloay2,2025-2026,10,2,2
e1islmeew98wa2ge0dicloay2,2025-2026,10,4,3
e1islmeew98wa2ge0dicloay2,2025-2026,10,5,3
e1islmeew98wa2ge0dicloay2,2025-2026,11,3,3
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,0,2
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,1,1
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,2,7
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,3,9
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,4,1
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,5,3
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,6,1
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,0,7,2
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,0,8
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,1,8
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,2,15
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,3,11
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,4,20
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,5,9
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,6,3
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,1,7,2
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,0,17
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,1,13
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,2,19
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,3,33
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,4,16
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,5,19
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,6,6
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,2,7,8
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,0,17
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,1,22
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,2,40
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,3,52
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,4,38
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,5,32
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,6,17
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,3,7,3
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,0,14
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,1,32
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,2,49
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,3,41
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,4,31
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,5,29
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,6,16
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,4,7,7
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,0,10
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,1,22
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,2,47
