id,temporada,liga,xG,npxG,npG-xG,npxg_goals,shots,np_shots,xA,key_passes
3fhoof7n4sjaizvotcmypb9at,2022-2023,English Premier League,0.65,0.65,-0.65,0,9,9,0.8,15
ctq9si3nbc6n8cznhlcvtixd6,2022-2023,English Premier League,0.64,0.64,-0.64,0,6,6,0.68,13
cot71zatz9vm1hyzp5ecqhvpx,2022-2023,English Premier League,0.62,0.62,-0.62,0,4,4,0.08,2
31wf775s975qy3il33oora8k5,2022-2023,English Premier League,0.61,0.61,0.39,1,10,10,0.4,7
7fmpgkx58o9pivo2bbnxxkt05,2022-2023,English Premier League,0.61,0.61,-0.61,0,10,10,0.21,5
3m7wjcmet9b8sc5tu0ct8j0et,2022-2023,English Premier League,0.61,0.61,-0.61,0,13,13,2.0,23
z0btpgav68n4lqoht3ax3845,2022-2023,English Premier League,0.61,0.61,0.39,1,3,3,0.0,0
8cho2d1nz18i5o0zt6aysd68l,2022-2023,English Premier League,0.61,0.61,-0.61,0,11,11,1.04,9
8pb6iiphpyxdlpbs4dpunr8wl,2022-2023,English Premier League,0.59,0.59,0.41,1,9,9,0.88,12
8qys6qtdwgsycxducl062zld5,2022-2023,English Premier League,0.58,0.58,-0.58,0,8,8,0.7,7
3kwkd3b95n8qzqtq4idxav45x,2022-2023,English Premier League,0.58,0.58,-0.58,0,7,7,1.36,21
