liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Hit Woodwork,Leftside Passes,Offsides,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Total Touches In Opposition Box,Unsuccessful lay-offs,Blocked Shots,Clean Sheets,Corners Taken (incl short corners),Goals,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Left Foot Goals,Overruns,Right Foot Goals,Shots On Target ( inc goals ),Successful Corners into Box,Successful Launches,Successful Lay-offs,Through balls,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Corners into Box,Yellow Cards,Home Goals,Away Goals,Handballs conceded,Headed Goals,Last Player Tackle,Penalties Conceded,Penalty Goals Conceded,Total Big Chances Saved,Assists (Intentional),Goal Assists,Attempts from Set Pieces,Clearances Off the Line,Foul Won Penalty,Goals from Outside Box,Penalties Taken,Penalty Goals,Straight Red Cards,Total Red Cards,Direct Setpiece Goals,Set Pieces Goals,GK Successful Distribution,Goal Kicks,Own Goal Scored,GK Unsuccessful Distribution,Red Cards - 2nd Yellow,Catches,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target,Drops,Goalkeeper Smother,Second Goal Assists,Other Goals,Crosses not Claimed
Italy_Serie_A,2025-2026,ACF Fiorentina,6gjn7pt0i34q45g4porckuj8p,C. Kouamé,Forward,99,1,1,,2,4,,1,1,2,1,1,8,2,,2,,,1,,1,1,,15,1,2,2,1,1,,,,2,,,,12,9,3,12,,1,,,25,,1,,,5,15,12,1,3,23,2,2,,1,1,5,,2,0,,8,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,83jpq8fuprm9h1e2thoxv1tyh,T. Lamptey,Defender,48,1,1,,2,4,,3,,3,1,2,7,2,,2,,,2,,2,,2,10,3,,,1,,2,1,1,1,1,1,,7,3,5,7,,2,,,25,,,,,6,10,7,2,3,16,,,,,,3,,3,0,,4,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,7wpqn7j9sggde96ofmzuxif4k,P. Leonardelli,Goalkeeper,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,bgwbowoiz7t2lvpit75zlqz11,L. Lezzerini,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,dpnp9rguhhs04of6vmlw5spg5,R. Mandragora,Midfielder,8,60,24,36,33,182,5,131,16,230,92,138,408,258,15,33,32,25,170,68,102,14,31,897,57,23,16,66,210,34,29,19,4,16,2,33,757,441,382,774,23,22,1,4,2348,19,35,37,55,247,958,807,45,151,1344,50,11,9,34,59,168,33,92,0,1,308,,25,5,42,48,2,20,2,45,7,7,4,4,5,,1,17,11,3,42,4,3,,3,30,7,3,4,1,1,,,4,,1,3,13,,1,3,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,4jh6mywmhugi4ltyhq5vd5ij8,T. Martinelli,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,Defender,18,35,17,18,11,22,7,73,,75,37,38,13,130,4,11,19,13,40,20,20,22,2,423,32,7,5,28,165,2,9,2,2,,,16,389,99,319,402,4,8,2,2,809,1,47,17,8,42,455,418,12,37,577,,,1,15,24,26,11,13,0,,138,,2,,2,3,,,1,,,6,,,,,,,,7,,,,,,,3,,,,,1,,3,,,,,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,kvbjuvcseqk4sbr04ctkqi38,C. Ndour,Midfielder,27,78,46,32,32,146,9,166,8,209,112,97,306,198,12,32,21,19,131,66,65,14,6,732,51,37,23,74,241,6,20,11,12,1,1,19,603,340,271,591,16,19,,11,1849,28,34,26,23,198,740,610,35,130,1038,18,18,16,11,24,112,36,106,1,,155,1,6,7,14,39,1,10,5,,3,2,3,3,,1,2,8,,1,19,2,1,2,2,,2,2,1,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,a6lo3s66xv87llkhwveoq1vqh,H. Nicolussi,Midfielder,14,21,11,10,25,84,3,168,10,150,81,69,183,214,9,25,23,19,129,70,59,6,13,675,66,18,7,60,232,17,16,12,9,13,1,38,572,323,300,572,12,13,,1,1369,37,25,22,23,209,724,610,25,114,978,38,10,10,7,33,126,26,81,0,,194,,5,11,7,7,,10,,33,,4,,,,,,2,10,4,19,1,4,,,20,4,,,2,,,,2,,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,8dgh4fzut8khpt32d6dsrljsa,F. Parisi,Defender,65,25,15,10,23,128,6,245,5,211,87,124,355,169,4,23,21,16,186,72,114,20,18,624,117,31,13,94,209,19,18,12,5,7,4,24,530,327,222,518,8,13,4,47,1527,50,23,14,66,217,638,542,21,96,1061,32,23,24,13,30,99,29,66,0,2,132,1,9,31,16,44,,8,1,11,1,5,1,1,,6,1,7,3,2,5,2,3,1,,7,6,0,1,,,,1,2,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
