liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goal Assists,Goalkeeper Smother,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Saved,Assists (Intentional),Corners Taken (incl short corners),Goals Openplay,Goals from Outside Box,Handballs conceded,Left Foot Goals,Overruns,Successful Corners into Box,Successful Lay-offs,Through balls,Times Tackled,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful lay-offs,Foul Won Penalty,Right Foot Goals,Throw Ins to Opposition Player,Total Big Chances Scored,Penalties Conceded,Clearances Off the Line,Straight Red Cards,Total Red Cards,Attempts from Set Pieces,Red Cards - 2nd Yellow,Penalties Faced,Second Goal Assists,Hit Woodwork,Penalties Taken,Penalty Goals,Penalties Off Target,Own Goal Scored,Other Goals,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty
Portugal_Primeira_Liga,2025-2026,CD Tondela,15cgd8ntybnsp3og07nxe02d,João Afonso,Defender,5,40,15,25,13,15,1,8,50,,1,68,26,42,11,92,2,2,13,2,,15,14,1,,28,11,17,,20,,,81,1,244,1,27,8,5,17,74,,1,,6,,7,,,1,6,22,203,56,165,199,5,8,,608,,49,6,4,47,262,1,221,13,6,41,375,10,20,27,14,21,3,,,0,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,5n522jpifzyf9qu0z41kuf7my,João Silva,Defender,44,52,23,29,12,30,2,4,88,3,,113,52,61,22,184,12,16,12,16,1,14,12,2,1,61,29,32,1,6,1,1,196,,476,2,52,8,5,26,96,1,2,1,11,1,1,,,,5,30,403,116,315,401,8,18,2,996,1,62,24,6,84,506,3,431,26,9,75,652,19,39,46,30,36,1,1,0,0,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,1,1,,,,,,,,,,,,1,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,987m2cpi9k8ssjy3jrkfjjytw,J. Rodríguez,Midfielder,32,43,22,21,29,80,6,8,153,3,2,166,76,90,139,264,15,,29,,,35,29,6,,123,54,69,,15,11,,183,1,769,5,76,24,16,95,259,11,5,1,22,9,7,4,4,12,5,41,651,356,316,627,15,24,5,1980,,37,23,18,166,786,6,668,39,12,118,1041,14,38,91,28,80,3,,,0,,,,,,,,,,,,,1,,,,,2,,1,,5,,15,1,,1,1,7,,,,4,,,1,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,80s8hyser75f5sldrj3reeynd,B. Kimpioka,Forward,23,30,22,8,10,34,3,1,34,2,2,91,57,34,99,11,2,,10,,,6,5,1,,61,35,26,,3,2,,22,3,92,1,10,4,3,10,26,2,2,2,5,,5,,,8,,2,71,53,19,70,,6,,525,1,4,20,12,66,93,4,72,6,20,21,201,1,2,14,8,19,3,,,0,,,,,,,,,,,,,,,,,,5,,,,8,,19,1,,1,1,9,4,,,,,1,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,5w18cjh97e3hcgtdrlzo2lrvu,E. Maviram,Defender,60,28,15,13,20,62,2,3,90,1,8,112,62,50,212,233,9,,20,,2,29,25,4,1,84,47,37,,27,12,,23,2,437,4,56,50,18,58,134,14,6,4,17,5,3,13,9,10,8,27,303,165,162,287,3,13,90,1458,,66,16,12,262,452,10,314,16,8,138,873,35,53,141,48,85,4,1,1,0,,,,,2,,,,,,,,,1,5,1,1,,2,3,3,,1,16,3,2,51,45,8,,,,34,,,,,,2,,,,,,,,1,,1,1,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,47q4q1oooi1851xm5z68bc36c,B. Medina,Defender,20,108,45,63,25,70,3,17,181,5,6,235,93,142,85,345,11,2,25,2,,38,33,5,,127,48,79,,24,5,2,119,1,800,7,104,19,14,85,301,6,6,4,25,2,,1,1,7,12,31,673,210,498,676,25,36,6,2199,3,150,28,11,163,835,10,707,61,45,128,1230,33,62,95,34,66,8,,,0,,,,,1,,,,,,,,,1,,,,,,,,,,11,1,,1,1,8,,2,,2,,3,,1,2,,1,,,,,,,1,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,30achymdcr7u4no7p8c5015hw,Miro,Forward,9,22,12,10,4,11,3,2,18,,2,47,28,19,26,13,1,,4,,,6,5,1,,25,16,9,,,1,,9,7,32,,13,3,1,5,10,1,2,2,4,3,,,,3,,3,20,16,14,27,,,,282,4,4,9,6,33,43,4,30,,5,13,91,,4,12,3,9,1,,,0,,,,,,,,,,,,,,,,,,,,,,,1,6,1,,2,2,2,,,,,,,,,,,,,,1,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,ena6eo8k01ry7sfyonykdovhm,M. Ouattara,Forward,70,13,8,5,16,49,2,,75,,7,86,50,36,129,22,3,,16,,,10,9,1,,73,42,31,,3,9,,34,5,133,3,48,11,4,25,35,9,4,,7,6,9,4,4,7,,3,104,73,42,108,3,,2,557,1,3,13,21,86,140,4,111,3,19,29,271,4,6,37,8,23,1,,,0,,,,,,,,,,,,,,,6,,,1,,1,,5,,25,2,1,16,15,12,3,,,1,,,,,,,,,,1,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,67j4ibotfua9hnjsydi8o75rd,Pedro Maranhão,Forward,7,42,30,12,33,164,10,3,216,2,24,282,140,142,565,162,20,,33,,6,41,35,6,5,240,110,130,,20,29,,170,8,567,5,136,63,31,105,85,31,31,25,30,21,3,21,18,27,1,14,417,322,128,415,17,25,17,2470,13,14,40,62,354,581,56,429,42,82,152,1137,4,19,182,30,133,7,0,6,1,,,,,2,,,,,,,,,2,12,4,1,1,,2,2,20,3,50,4,7,60,50,30,3,2,6,3,5,,,,,1,,,,6,4,2,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,5m1fht9uevn186asz8awhxjah,Rodrigo Conceição,Defender,27,39,27,12,20,94,1,3,173,4,4,236,135,101,293,178,8,,20,,1,21,19,2,1,197,108,89,,19,14,,41,,443,4,129,38,25,69,143,14,1,5,16,4,4,6,6,17,2,17,364,216,167,360,17,30,94,1431,,27,24,25,213,456,6,377,47,26,79,904,7,14,87,24,65,4,1,0,0,,,,,,,,,,,,,,,1,1,,,,4,,4,1,48,,,32,31,32,,,1,9,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,3a8iogub2cwuedxyu03gsvx90,Y. Rodríguez,Forward,11,31,25,6,14,15,,,21,,3,77,54,23,72,6,2,,14,,1,10,8,2,1,46,29,17,1,,3,,14,6,38,2,7,5,3,11,8,3,3,5,1,,13,1,1,2,,1,32,25,13,36,4,4,,407,4,2,11,7,50,43,8,37,8,21,6,130,,1,10,,5,1,1,0,0,,,,,,,,,,,,,,,,,,2,,1,,2,,18,,,4,4,7,,,,,,,,,,,,,,1,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,demp53kye0ium76t240vo8cet,Rony Lopes,Forward,16,9,7,2,16,102,11,1,94,,7,92,50,42,206,106,7,,16,,4,21,18,3,2,83,43,40,,,13,,90,,327,4,45,11,2,42,62,15,15,10,14,13,2,9,,10,1,20,254,185,107,263,9,11,5,1040,,3,13,10,141,360,25,283,20,18,77,538,3,14,85,12,63,3,2,2,0,,,,,2,,,,,,,,,2,15,3,2,,3,1,7,17,2,24,4,8,20,3,6,1,,1,1,1,,,,,4,,,,1,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,CD Tondela,5xhjvappzv6swoof5qpi0yj9,J. Siebatcheu,Forward,29,75,38,37,22,63,7,1,40,1,6,144,86,58,148,44,5,,22,,1,27,24,3,1,69,48,21,,3,8,,48,12,193,5,16,10,7,27,53,8,12,9,14,7,8,,,3,,5,141,86,70,151,1,4,1,1236,6,22,24,13,101,208,21,156,5,55,52,376,,3,42,13,49,3,1,0,1,,,,,,,,,,,,,,,,,,,1,1,,18,,19,,,3,3,5,4,1,,,1,,,,,,,,,2,1,,,,,,,,
