liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Corners into Box,Successful Crosses & Corners,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Goals Openplay,Hit Woodwork,Left Foot Goals,Assists (Intentional),Goal Assists,Penalties Conceded,Successful Crosses open play,Successful Launches,Throw Ins to Opposition Player,Total Big Chances Created,Clearances Off the Line,Total Big Chances Saved,Foul Won Penalty,Unsuccessful lay-offs,Total Big Chances Missed,Last Player Tackle,GK Successful Distribution,Goal Kicks,Attempts from Set Pieces,Headed Goals,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Second Goal Assists,Own Goal Scored,Straight Red Cards,Total Red Cards,Goals from Outside Box,Red Cards - 2nd Yellow,Penalties Off Target,Direct Setpiece Goals,Set Pieces Goals,Crosses not Claimed,Other Goals
France_Ligue_1,2025-2026,Olympique de Marseille,br7zigajqee6fms35zhm1sb8p,F. Medina,Defender,32,18,8,10,16,103,,10,226,3,,3,81,42,39,124,370,15,16,,22,22,,,63,34,29,2,20,5,143,,970,,,,3,129,24,11,70,,384,6,3,1,15,3,1,,1,4,1,38,888,448,468,877,3,13,,44,1276,4,,42,24,9,127,1000,4,915,16,10,85,1222,,13,13,2,6,36,71,27,49,7,,,0,,,,1,1,1,1,5,7,2,1,2,,,1,,11,11,,,,,,,,,,,,,,,,,1,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,6ma3oewkllhcu66tbb6d8shzo,T. Mmadi,Midfielder,76,2,1,1,3,10,1,,12,,,1,10,7,3,19,4,2,3,,1,1,,,8,6,2,,2,1,2,,23,,,,1,5,2,,1,,7,1,1,,,,3,,,1,,,19,12,7,19,,1,,2,42,3,,1,2,,11,23,1,19,1,6,4,40,,2,2,2,,,6,,4,,,,0,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,b3vvxolwxcukqk76hb4scvh79,A. Murillo,Defender,62,22,12,10,16,113,2,2,107,3,,11,112,57,55,246,144,11,16,2,13,12,1,2,90,45,45,,6,10,179,2,480,,,,3,68,20,8,43,,50,11,5,2,11,4,5,,5,8,11,10,412,227,196,408,7,14,3,67,988,18,1,19,22,16,135,486,7,418,21,31,68,730,,22,22,11,7,14,78,12,54,4,1,1,1,2,1,1,1,1,,5,3,8,3,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,b20jm17ij9neyskc6n4fkanmc,P. N'Zinga Pambani,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,bsdr4bp6qt4qpy303u7l11250,B. Nadir,Midfielder,26,8,6,2,20,104,3,1,106,1,3,7,77,50,27,161,59,13,20,,5,4,1,,69,44,25,1,7,7,128,1,366,2,,,1,55,6,1,34,,80,11,3,1,5,5,15,,4,4,15,7,330,216,123,328,9,8,3,5,590,11,,5,24,4,67,371,4,335,17,19,36,471,1,6,5,2,,6,32,10,30,4,,,0,,,,2,4,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,2zfl3uasstx4eknstbzcsg7is,T. Nnadi,Midfielder,6,6,3,3,7,33,1,,27,,,1,32,18,14,46,37,4,7,,3,3,,,26,15,11,,2,1,41,,131,,,,,15,4,2,11,,21,2,2,1,3,2,4,,1,2,4,2,115,77,40,114,4,2,,6,270,5,,2,9,3,37,132,3,116,6,7,16,186,,4,4,1,1,3,16,4,13,1,,,0,,,,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,2lt2tw1qypl9hmlz529bo0sus,E. Nwaneri,Midfielder,11,4,3,1,9,25,4,,63,,5,,39,29,10,93,30,1,9,2,5,5,,1,35,26,9,,4,4,51,,128,3,,,,30,6,5,13,,25,5,2,3,3,4,6,3,4,5,5,5,112,90,29,110,2,1,2,2,322,21,1,1,4,1,58,131,5,115,3,12,16,213,2,5,2,11,,,17,4,16,1,2,0,1,2,,2,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,cm7l7qimy4iysm1khmpc7u961,M. O'Riley,Midfielder,17,8,6,2,15,119,1,3,68,2,4,4,63,40,23,171,113,7,15,1,9,9,,,55,34,21,,6,10,136,1,426,2,,,2,28,10,5,44,,76,12,3,3,6,4,9,,,2,25,12,374,222,170,380,11,7,,1,739,12,,10,15,1,84,444,6,392,18,25,52,543,1,7,6,5,7,13,54,5,39,2,0,1,0,1,,1,2,2,,,,1,5,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,3s0nu5fetxm8toam4qa3j845w,R. Ouro Bang Na,Defender,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,Defender,28,69,26,43,26,91,3,12,284,7,,3,139,54,85,161,482,13,26,1,24,23,1,1,70,28,42,,25,9,540,4,1315,,,,4,145,13,9,65,,225,11,5,3,22,5,4,,2,,4,32,1198,556,667,1189,18,10,1,29,1927,2,1,74,21,15,147,1338,8,1221,28,19,117,1597,,13,13,2,17,38,87,43,79,5,1,0,0,,,,1,2,2,2,6,6,3,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
